Date,Open,High,Low,Close,Adj Close,Volume
2000-03-10,73.333336,74.416664,73.166664,73.416664,73.416664,126000
2000-03-13,72.666664,73.333336,70.0,70.0,70.0,155200
2000-03-14,70.333336,72.25,65.333336,66.25,66.25,152800
2000-03-15,66.0,66.166664,61.25,64.541664,64.541664,242100
2000-03-16,64.916664,65.75,60.66666800000001,61.66666800000001,61.66666800000001,164500
2000-03-17,61.08333199999999,63.33333199999999,60.66666800000001,62.45833199999999,62.45833199999999,171700
2000-03-20,62.20833199999999,64.0,61.75,62.83333199999999,62.83333199999999,346800
2000-03-21,63.08333199999999,64.083336,61.66666800000001,63.16666800000001,63.16666800000001,287500
2000-03-22,63.91666800000001,67.916664,61.125,62.91666800000001,62.91666800000001,334800
2000-03-23,62.5,67.083336,62.343734999999995,63.5,63.5,198900
2000-03-24,63.33333199999999,64.166664,61.41666800000001,62.08333199999999,62.08333199999999,120000
2000-03-27,61.25,62.0,57.33333199999999,58.29166800000001,58.29166800000001,497500
2000-03-28,58.25,58.5,53.66666800000001,55.0,55.0,563500
2000-03-29,56.75,62.0,56.70833199999999,60.5,60.5,546000
2000-03-30,57.91666800000001,60.0,57.75,57.83333199999999,57.83333199999999,381100
2000-03-31,57.83333199999999,58.95833199999999,56.0,56.66666800000001,56.66666800000001,525300
2000-04-03,56.33333199999999,56.33333199999999,53.0,54.125,54.125,405400
2000-04-04,54.0,55.33333199999999,46.666668,52.66666800000001,52.66666800000001,182200
2000-04-05,50.0,50.333332,47.166668,47.833332,47.833332,867700
2000-04-06,48.916668,57.58333199999999,47.833332,57.33333199999999,57.33333199999999,666300
2000-04-07,58.0,58.0,52.66666800000001,54.0,54.0,180300
2000-04-10,55.33333199999999,58.58333199999999,54.66666800000001,56.75,56.75,198600
2000-04-11,56.0,56.66666800000001,54.33333199999999,55.29166800000001,55.29166800000001,189300
2000-04-12,55.177067,56.0,50.416668,51.333332,51.333332,286500
2000-04-13,50.75,52.333332,50.75,51.166668,51.166668,431500
2000-04-14,50.666668,50.666668,45.0,45.458332,45.458332,168600
2000-04-17,44.666668,48.75,43.166668,48.625,48.625,261400
2000-04-18,48.0,56.5,48.0,51.958332,51.958332,256200
2000-04-19,53.5,55.33333199999999,52.333332,53.25,53.25,316800
2000-04-20,52.91666800000001,53.6562,49.583332,50.0,50.0,237100
2000-04-24,51.416668,51.416668,47.75,48.166668,48.166668,144000
2000-04-25,48.083332,50.25,48.083332,49.583332,49.583332,160000
2000-04-26,50.166668,54.0,49.333332,52.041668,52.041668,202200
2000-04-27,51.5,57.66666800000001,50.0,57.125,57.125,571800
2000-04-28,58.0,60.66666800000001,56.66666800000001,56.83333199999999,56.83333199999999,279300
2000-05-01,56.66666800000001,60.0,56.66666800000001,58.41666800000001,58.41666800000001,147000
2000-05-02,58.66666800000001,58.66666800000001,56.91666800000001,56.91666800000001,56.91666800000001,89800
2000-05-03,56.91666800000001,57.33333199999999,52.0,56.0,56.0,270300
2000-05-04,56.08333199999999,58.0,56.0,56.75,56.75,276700
2000-05-05,56.75,60.0,56.75,60.0,60.0,429700
2000-05-08,59.83333199999999,60.25,58.83333199999999,59.25,59.25,191400
2000-05-09,59.66666800000001,59.75,56.66666800000001,57.45833199999999,57.45833199999999,128800
2000-05-10,57.25,57.25,53.16666800000001,54.20833199999999,54.20833199999999,147300
2000-05-11,55.66666800000001,56.0,52.166668,53.25,53.25,213100
2000-05-12,53.91666800000001,55.25,52.91666800000001,54.5,54.5,156300
2000-05-15,53.33333199999999,54.75,53.08333199999999,54.5,54.5,80200
2000-05-16,55.5,56.58333199999999,54.0,55.33333199999999,55.33333199999999,73300
2000-05-17,55.33333199999999,55.33333199999999,53.33333199999999,55.0,55.0,68200
2000-05-18,55.0,56.66666800000001,54.75,56.45833199999999,56.45833199999999,136000
2000-05-19,56.08333199999999,56.08333199999999,51.0,51.333332,51.333332,485100
2000-05-22,51.583332,51.583332,47.0,47.791668,47.791668,327400
2000-05-23,47.833332,49.666668,47.583332,47.916668,47.916668,215800
2000-05-24,49.0,49.333332,47.166668,47.458332,47.458332,102600
2000-05-25,48.375,50.166668,47.833332,49.0,49.0,137100
2000-05-26,47.833332,49.333332,47.75,48.666668,48.666668,30600
2000-05-30,49.333332,53.08333199999999,48.333332,53.0,53.0,344100
2000-05-31,53.16666800000001,56.83333199999999,52.83333199999999,56.33333199999999,56.33333199999999,658000
2000-06-01,56.75,60.16666800000001,56.33333199999999,59.5,59.5,402900
2000-06-02,59.75,69.583336,59.45833199999999,66.666664,66.666664,490500
2000-06-05,65.666664,66.083336,60.41666800000001,61.45833199999999,61.45833199999999,376000
2000-06-06,60.83333199999999,61.45833199999999,58.95833199999999,59.66666800000001,59.66666800000001,164200
2000-06-07,59.08333199999999,62.66666800000001,58.5,62.0,62.0,129000
2000-06-08,62.16666800000001,62.16666800000001,60.20833199999999,61.08333199999999,61.08333199999999,221500
2000-06-09,62.16666800000001,62.33333199999999,59.91666800000001,60.33333199999999,60.33333199999999,59700
2000-06-12,60.66666800000001,60.91666800000001,55.91666800000001,58.66666800000001,58.66666800000001,219000
2000-06-13,57.95833199999999,60.16666800000001,57.66666800000001,58.33333199999999,58.33333199999999,105700
2000-06-14,59.45833199999999,59.5,55.83333199999999,56.04166800000001,56.04166800000001,163000
2000-06-15,55.5,56.0,54.33333199999999,55.145802,55.145802,195900
2000-06-16,54.41666800000001,58.33333199999999,54.41666800000001,58.33333199999999,58.33333199999999,96400
2000-06-19,58.41666800000001,59.08333199999999,56.95833199999999,57.875,57.875,214600
2000-06-20,56.875,59.33333199999999,56.83333199999999,59.16666800000001,59.16666800000001,749700
2000-06-21,59.33333199999999,61.25,58.854133999999995,60.08333199999999,60.08333199999999,132700
2000-06-22,60.66666800000001,60.66666800000001,58.91666800000001,58.91666800000001,58.91666800000001,68500
2000-06-23,58.66666800000001,59.0,54.91666800000001,55.04166800000001,55.04166800000001,184300
2000-06-26,56.0,56.33333199999999,53.83333199999999,55.0,55.0,279100
2000-06-27,56.0,58.16666800000001,55.91666800000001,58.08333199999999,58.08333199999999,295000
2000-06-28,57.33333199999999,59.33333199999999,57.0,58.83333199999999,58.83333199999999,324900
2000-06-29,59.16666800000001,59.91666800000001,58.66666800000001,59.33333199999999,59.33333199999999,485100
2000-06-30,59.5,62.33333199999999,59.33333199999999,61.91666800000001,61.91666800000001,517500
2000-07-03,62.375,64.333336,62.375,63.33333199999999,63.33333199999999,164500
2000-07-05,63.5,63.5,58.08333199999999,58.562466,58.562466,88800
2000-07-06,58.95833199999999,60.5,58.91666800000001,60.16666800000001,60.16666800000001,493800
2000-07-07,60.16666800000001,62.95833199999999,60.16666800000001,62.83333199999999,62.83333199999999,303700
2000-07-10,61.83333199999999,68.166664,61.83333199999999,66.416664,66.416664,382500
2000-07-11,66.416664,67.583336,63.41666800000001,64.166664,64.166664,361800
2000-07-12,64.666664,67.75,63.33333199999999,66.75,66.75,173400
2000-07-13,66.666664,70.5,66.5,69.416664,69.416664,412000
2000-07-14,69.708336,70.125,67.583336,68.416664,68.416664,83400
2000-07-17,68.166664,71.583336,68.0,71.083336,71.083336,655300
2000-07-18,71.125,71.25,67.125,67.625,67.625,303000
2000-07-19,68.666664,68.666664,61.58333199999999,62.83333199999999,62.83333199999999,305200
2000-07-20,63.83333199999999,65.5,61.91666800000001,62.0,62.0,201100
2000-07-21,62.0,62.83333199999999,61.66666800000001,61.66666800000001,61.66666800000001,211500
2000-07-24,63.58333199999999,65.166664,62.58333199999999,65.166664,65.166664,334600
2000-07-25,64.875,65.25,62.5,62.91666800000001,62.91666800000001,181800
2000-07-26,62.66666800000001,66.5,62.66666800000001,64.666664,64.666664,185100
2000-07-27,65.333336,65.333336,61.08333199999999,61.66666800000001,61.66666800000001,369700
2000-07-28,62.020802,62.04166800000001,53.33333199999999,57.5,57.5,452400
2000-07-31,57.91666800000001,58.0,54.41666800000001,54.91666800000001,54.91666800000001,653500
2000-08-01,54.91666800000001,55.33333199999999,54.33333199999999,55.04166800000001,55.04166800000001,705000
2000-08-02,56.83333199999999,56.83333199999999,54.29166800000001,55.375,55.375,1044300
2000-08-03,55.0,55.20833199999999,52.333332,53.58333199999999,53.58333199999999,679500
2000-08-04,54.58333199999999,55.5,53.70833199999999,54.83333199999999,54.83333199999999,260100
2000-08-07,55.66666800000001,57.66666800000001,55.33333199999999,56.875,56.875,357900
2000-08-08,58.0,59.0,57.5,58.04166800000001,58.04166800000001,305500
2000-08-09,59.375,60.66666800000001,58.66666800000001,59.0,59.0,556500
2000-08-10,58.812466,60.66666800000001,58.375,60.33333199999999,60.33333199999999,218800
2000-08-11,60.645802,61.5,60.0,60.91666800000001,60.91666800000001,353200
2000-08-14,60.875,62.79166800000001,60.33333199999999,62.79166800000001,62.79166800000001,54400
2000-08-15,63.08333199999999,66.208336,62.66666800000001,64.333336,64.333336,329800
2000-08-16,64.333336,65.083336,61.875,62.16666800000001,62.16666800000001,217800
2000-08-17,62.0,62.41666800000001,61.29166800000001,61.33333199999999,61.33333199999999,109900
2000-08-18,61.08333199999999,62.75,58.66666800000001,62.75,62.75,151500
2000-08-21,62.75,65.666664,62.66666800000001,65.0,65.0,347500
2000-08-22,64.666664,65.583336,64.416664,65.333336,65.333336,83500
2000-08-23,64.166664,66.5,64.0,66.333336,66.333336,221700
2000-08-24,65.583336,66.916664,65.583336,66.5,66.5,133000
2000-08-25,66.625,66.666664,65.958336,66.416664,66.416664,120600
2000-08-28,66.666664,66.666664,64.833336,66.0,66.0,304200
2000-08-29,64.541664,66.208336,64.5,65.375,65.375,72300
2000-08-30,65.333336,65.375,63.83333199999999,64.416664,64.416664,50400
2000-08-31,65.166664,65.333336,64.083336,64.541664,64.541664,157800
2000-09-01,65.166664,66.75,64.333336,66.083336,66.083336,187800
2000-09-05,65.625,66.666664,64.083336,64.083336,64.083336,163900
2000-09-06,64.166664,64.166664,61.91666800000001,62.125,62.125,224400
2000-09-07,62.16666800000001,62.33333199999999,59.33333199999999,61.66666800000001,61.66666800000001,183300
2000-09-08,61.58333199999999,61.58333199999999,59.25,60.33333199999999,60.33333199999999,224100
2000-09-11,59.83333199999999,60.75,58.58333199999999,58.58333199999999,58.58333199999999,121600
2000-09-12,58.66666800000001,60.04166800000001,58.5,58.91666800000001,58.91666800000001,97200
2000-09-13,59.33333199999999,61.16666800000001,58.91666800000001,61.0,61.0,149500
2000-09-14,61.0,66.333336,61.0,64.666664,64.666664,312400
2000-09-15,64.020798,65.083336,60.0,60.91666800000001,60.91666800000001,210600
2000-09-18,60.0,61.5,58.0,58.0625,58.0625,308200
2000-09-19,59.0,59.1875,55.625,56.9375,56.9375,171900
2000-09-20,57.875,58.0,56.0,56.1875,56.1875,205500
2000-09-21,56.25,56.5,53.625,54.0,54.0,212100
2000-09-22,52.75,54.9375,52.3125,54.5625,54.5625,186500
2000-09-25,55.25,55.25,51.0,51.75,51.75,617000
2000-09-26,50.9375,52.25,50.125,51.125,51.125,551400
2000-09-27,52.625,53.25,50.0,51.0,51.0,585500
2000-09-28,51.5,54.375,49.875,54.0,54.0,502500
2000-09-29,54.0,55.25,52.8125,54.6875,54.6875,370300
2000-10-02,54.75,55.25,52.5625,52.5625,52.5625,252000
2000-10-03,53.9687,54.0,51.5625,52.0,52.0,367100
2000-10-04,52.125,52.125,50.9375,51.625,51.625,301800
2000-10-05,52.3125,53.5,50.5,50.75,50.75,417900
2000-10-06,50.625,50.875,47.5625,47.625,47.625,430900
2000-10-09,47.375,47.625,40.6875,43.75,43.75,701500
2000-10-10,40.75,42.0,40.1875,41.0,41.0,1143700
2000-10-11,41.125,44.0,36.0,44.0,44.0,1308300
2000-10-12,44.5,45.375,39.25,41.0,41.0,919300
2000-10-13,40.625,47.0,40.375,46.125,46.125,336700
2000-10-16,47.0,47.375,45.5,46.8125,46.8125,221300
2000-10-17,47.0,47.25,46.375,46.8125,46.8125,452700
2000-10-18,46.0,48.625,44.75,46.2187,46.2187,385900
2000-10-19,49.5,53.5,49.25,53.25,53.25,364900
2000-10-20,53.1875,53.25,50.75,50.8125,50.8125,339200
2000-10-23,51.0,53.0,48.75,50.3125,50.3125,221300
2000-10-24,48.75,51.0,47.5,48.125,48.125,155800
2000-10-25,46.125,46.625,44.75,45.5625,45.5625,297800
2000-10-26,46.25,47.0625,43.625,46.5625,46.5625,320700
2000-10-27,47.1875,48.0,46.375,47.75,47.75,67600
2000-10-30,48.0,51.0,46.625,48.4375,48.4375,121200
2000-10-31,50.0,53.125,50.0,52.9375,52.9375,191500
2000-11-01,52.25,55.0,51.296799,54.75,54.75,181000
2000-11-02,54.375,57.25,54.0,56.359299,56.359299,510500
2000-11-03,56.1875,58.0625,54.75,57.5,57.5,254900
2000-11-06,57.0,61.125,56.9375,60.625,60.625,692200
2000-11-07,58.6562,59.875,58.625,59.0625,59.0625,288600
2000-11-08,59.3125,59.375,58.5625,58.75,58.75,288100
2000-11-09,57.75,58.5625,55.5,55.5,55.5,216300
2000-11-10,55.0,55.5,49.875,50.0625,50.0625,199400
2000-11-13,49.7812,52.125,49.265598,51.125,51.125,213100
2000-11-14,51.265598,53.125,51.25,52.25,52.25,120100
2000-11-15,51.1875,53.5625,51.125,53.5,53.5,200900
2000-11-16,52.8125,57.125,52.75,52.75,52.75,213500
2000-11-17,54.0,54.75,52.625,53.25,53.25,55700
2000-11-20,53.125,55.625,51.875,52.375,52.375,77100
2000-11-21,52.0,52.0,49.125,50.0,50.0,447300
2000-11-22,49.265598,50.5,49.25,49.625,49.625,98100
2000-11-24,52.25,54.5625,50.875,54.1875,54.1875,109300
2000-11-27,54.875,56.25,53.6562,53.6562,53.6562,168600
